Month,RowID,Response ID,"Overall, how satisfied are you with your experience living on campus at SDSU in the last 30 days?",Please explain why you are not satisfied with your experience living on campus at SDSU:,Front Desk,Wepa Printing Kiosk,Laundry Facilities,"Outdoor Recreation Facilities (pool, patio, fire pit, etc.)",The UPS Store,Streeme TV or Cable,WiFi,Residential Bike Storage and Bike Racks,Surfboard Storage,Community Study Areas,Community Kitchens,Vending Machines,Have you utilized a STAR Center in the last 30 days?,Please explain why you are not using the Star Center:,"Cleanliness of your residential community common areas (bathrooms, laundry rooms, hallways, lounges)","Maintenance of your residential community (furniture, utilities, appliances)","Amenities of your residential community (i.e., wifi, lounges, furniture, laundry, outdoor recreational spaces)","Please explain why you are unsatisfied with the Cleanliness, Maintenance, or Amenities of your residential community:",Within your residential community,Overall on campus,"Off campus, but within 1 mile of the university",Please tell us how the safety conditions on campus can be improved:,Have you submitted a service request in the last 30 days?,Please select the reason for why you have not submitted a service request in the last 30 days: - Selected Choice,"Other, please specify Text for why you have not submitted a service request in the last 30 days","To what degree do you agree or disagree with the following statement? I consider the responsibility of keeping the communal areas (bathrooms, laundry rooms, hallways, lounge) tidy as a shared responsibility amongst residents.",How many total people live in your suite or apartment unit?,"In the last 30 days, how would you describe your relationship with your roommate(s)? - Selected Choice","Other, please specify Text for how would you describe your relationship with your roommate(s) in last 30 days?",I initiate open communication and discussion,I seek advice from my parents or family,I use the Shared Living Agreement to guide discussion/conversation,I seek assistance from my student leader (RA or CA),I seek assistance from my residence hall coordinator (RHC),I have submitted a room switch request due to a roommate conflict,"I avoid conflict or confrontation, so I don't address the issue.",My roommate(s) and I do not have any conflicts,"You have indicated you have not reached out for support from your Residence Hall Coordinator (RHC) or student leader (RA or CA), please tell us why:","Feeling a sense of belonging within the university community (Sense of belonging is the feeling that we have satisfied our emotional need to belong to a community or group because we feel accepted, included, respected, and supported by a group)",Forming meaningful connections and friendships with other students within the university community,Feeling the university supports my personal and academic development,How can we improve your sense of belonging within the university community?,Attended a floor event or program,Participated in Hall/Community Council or an RHA event,Participated in an affinity group event,Why didn't you participate in activities or events in your residential community?,Attended a campus event,Participated in a campus club or organization,Participated in Greek life,Participated in undergraduate research,Participated in an internship on campus,Participated in an internship off campus,Worked a job on campus,Worked a job off campus,Participated in a religious or spiritual group,Participated in a volunteer or community service organization,Other for have you participated in the following extracurricular activities or events In the last 30 days?,"Other, please specify te for have you participated in the following extracurricular activities or events In the last 30 days?",Fellow students in my residential community,Student leaders (RA or CA),Residence Hall Coordinator (RHC),Coordinated Care Advisor (CCA),One-on-one meetings with professors or instructors,Major or program advisor,Classmates or fellow students in my program or courses,"Campus staff (administrative, support, or service staff)","Eat at an on campus eatery (Food trucks, restaurants, food court)",Prepared a meal on my own,Eat with friends,Eat alone,how confident are you that you can make healthy food choices?,"how confident are you in preparing a nutritious, healthy meal for yourself?","Have you reached out to Well-being & Health Promotion for nutritional resources? If not, why not?",How would you rate your mental health during the last 30 days?,"Have you reached out to SDSU Counseling and Psychological Services for mental health resources? If not, why not?",How would you rate your physical health during the last 30 days?,"Have you reached out to Student Health Services for physical health resources? If not, why not?","In the last 30 days, have you been physically ill (e.g., flu, cold, etc.)?",Did you receive a medical diagnosis for your illness?,Hall,State,Country,Residency,RLC_Updated,RLC_GroupCoded,Coded_RoomType,Coded_ClassLevel,Classification,Gender,Type of Building,AttendStatus
October,973,R_3kLpc7PWR35BrBM,Satisfied,Did not answer,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,no need for it,Unsatisfied,Neutral,Satisfied,The common areas are always filthy and the printer was not working.,Safe,Unsafe,Unsafe,I'm not exactly sure but the people in frats need to be held accountable for drugging girls and SDSU needs to somehow control all the drinking.,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,I don't have time.,Yes,Yes,No,No,No,No,No,No,Yes,No,Did not answer,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,1-5 Times,1-5 Times,More than 10 Times,5,4,Did not answer,Good,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CO,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,823,R_2wFhjIPUDamiujn,Unsatisfied,Two things I am unsatisfied with is the frequent unavailability of soap in the bathrooms and the trash shoot being closed for an extended period of time.,Did not answer,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Did not answer,Unsatisfied,Neutral,Satisfied,The shower curtains are not changed often enough. They collect a lot of dirt and become brown quickly.,Safe,Neutral,Neutral,Did not answer,No,I do not know how to submit a service request.,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Did not answer,Neutral,Disagree,Agree,Did not answer,No,No,No,I was not aware of them.,No,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,No,No,No,No,No,Yes,Yes,More than 10 Times,0 Times,6-10 Times,6-10 Times,4,3,Did not answer,Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,668,R_3LZ62r4xGomd6SI,Neutral,Did not answer,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,I actually don't even know what that is.,Satisfied,Unsatisfied,Satisfied,AC has been broken for several weeks,Safe,Neutral,Unsafe,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,"I haven't needed it, it's only been a couple months into the school year.",Neutral,Neutral,Neutral,Did not answer,No,No,No,"I often spend my weekends in my hometown, when most of my floor's events take place.",No,No,No,No,No,No,No,Yes,No,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,6-10 Times,1-5 Times,0 Times,More than 10 Times,3,3,Did not answer,Very Poor,"I have not, I strongly suspect I'll just be referred out to another counseling service in San Diego since my issues are going to be a long-term problem to work out. I don't live in San Diego, I live in the dorm during the week and go to my hometown for the weekend. I don't have a car, don't drive, and don't have health insurance, so being referred out to another agency wouldn't help me because I couldn't afford it.",Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Essential 3,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Junior,Transfer,F,Sophomore and Upper Div,ATTENDING
October,417,R_1HoE5cgmfbWrsu5,Unsatisfied,"Our trash chute has been smelling up the floor, our bathrooms are filthy, and our AC has broken several times over the month",Yes,Yes,Yes,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Not Applicable,Yes,No,Not Applicable,No,I haven't had the need,Unsatisfied,Neutral,Unsatisfied,"They‚re not cleaned frequently enough, several laundry appliances are broken, and our bathrooms are filthy, with no seat covers or toilet paper on occasion",Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,haven't had the need,Disagree,Neutral,Neutral,There‚s not much that can be done.,Yes,No,No,haven't had any that interested me,Yes,No,Yes,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,More than 10 Times,More than 10 Times,6-10 Times,More than 10 Times,2,2,"I haven‚t, haven't felt the need.",Poor,don't feel the need.,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,965,R_3egGxobhli5W4Vb,Satisfied,Did not answer,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Have not used it,Neutral,Neutral,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,I have not needed to. No problem has warranted it,Agree,Neutral,Agree,Did not answer,No,No,No,I have had lots of work to do and am not very interested it them anyways.,Yes,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,No,No,Yes,Yes,Yes,Yes,Yes,More than 10 Times,1-5 Times,1-5 Times,More than 10 Times,5,2,No. I buy most of my food at restaurants on campus.,Good,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,733,R_1LIikcOYYsBai6J,Satisfied,Did not answer,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,"I used the Stats and math learning center, I‚m not sure if that counts.",Neutral,Satisfied,Satisfied,Did not answer,Safe,Neutral,Unsafe,"There is a lot of homeless people that sometimes draws on concern if I‚m by myself, if I‚m going to be safe",No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,"I have for my RA, don't know what a RHC is",Neutral,Neutral,Agree,Did not answer,Yes,No,No,Did not answer,Yes,Yes,No,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,No,Yes,Yes,No,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,2,2,"No, haven't had time. Not sure what they can do to actually help",Neutral,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zura,CA,United States of America,California Resident,Weber Honors College,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,374,R_1Fqvya4zmkZcxRa,Neutral,Did not answer,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,I don't know what it is,Neutral,Unsatisfied,Satisfied,The dryers never work,Safe,Unsafe,Unsafe,Have more security around the edges of campus so weirdos can‚t come on,No,I do not know how to submit a service request.,Did not answer,Agree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Disagree,Disagree,Neutral,Make more calming and peaceful spaces it makes me feel nice,No,No,No,I feel anxious to leave my room and no one talks to me,Yes,No,No,No,No,No,No,No,No,No,No,Did not answer,Yes,No,No,No,No,No,Yes,No,More than 10 Times,1-5 Times,1-5 Times,More than 10 Times,2,3,I don't know what to say and am insecure,Very Poor,No because I am scared to and I don't have proper documentation from my psychiatrist,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zura,CA,United States of America,California Resident,Pride House,Residential Learning Communities,Single,Freshman,New,F,First Year,NOT ENROLLED
October,298,R_tGp8cI4YDVsS0fL,Satisfied,Did not answer,Yes,Yes,No,Did not answer,Yes,No,Yes,No,No,Yes,Yes,No,No,I don't know what that is,Neutral,Neutral,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,I haven't really needed to,Agree,Agree,Neutral,Did not answer,No,No,Yes,I had other events,Yes,Yes,No,No,No,No,No,Yes,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,6-10 Times,5,5,Did not answer,Excellent,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zura,CA,United States of America,California Resident,Women's & Gender Equity,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,450,R_VHUpYniMUWWLtlf,Satisfied,Did not answer,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,I am not in need of help.,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,I haven't had to.,Agree,Agree,Agree,Did not answer,No,No,No,People that I know are not attending them.,No,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,Did not answer,Yes,No,No,No,Yes,No,Yes,No,1-5 Times,0 Times,More than 10 Times,More than 10 Times,5,4,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,720,R_UrPanQ96ULvICpH,Neutral,Did not answer,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Did not answer,Satisfied,Neutral,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,I haven't needed to,Neutral,Neutral,Neutral,Did not answer,No,No,No,They didn't interest me,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,Yes,No,No,6-10 Times,0 Times,6-10 Times,1-5 Times,2,2,"No, I wasn't aware of them.",Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Maya,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,NOT ENROLLED
October,435,R_1l5esb0j3h3bWAM,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,I don't know what that is,Unsatisfied,Neutral,Neutral,"the bathrooms are always dirty, always flooding, etc",Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Did not answer,Agree,Agree,Neutral,Did not answer,Yes,No,No,I don't know what those are,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,Yes,More than 10 Times,More than 10 Times,More than 10 Times,More than 10 Times,2,5,"No, I don't need to",Good,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zura,NY,United States of America,Out of State,Weber Honors College,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,180,R_1diXJL7l0RUX09q,Satisfied,Did not answer,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,I do not remember what they are and I forgot they existed.,Neutral,Unsatisfied,Satisfied,more than half of the dryers in my buildings laundry room were broken for multiple days.,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Did not answer,Disagree,Neutral,Agree,I just need to look into more clubs and on campus organizations.,No,No,No,I was not aware of any that were happening.,Yes,No,No,No,No,No,No,No,No,No,Not Applicable,Did not answer,Yes,Yes,No,Yes,No,Yes,Yes,Yes,More than 10 Times,0 Times,6-10 Times,More than 10 Times,3,4,Did not answer,Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,ATTENDING
October,959,R_wMGUi737qNfDozf,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,I have not needed help so far,Neutral,Unsatisfied,Satisfied,I am unsatisfied because the kitchen tap in the Maya building only works on the hot setting but that setting is too hot to wash anything in,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Did not answer,Agree,Agree,Agree,Did not answer,Yes,No,No,Did not answer,Yes,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,Did not answer,Yes,Yes,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,1-5 Times,3,3,Did not answer,Good,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Maya,CA,United States of America,Out of State,Women in Science and Engineering,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,721,R_2uV9sNgkWufQO4J,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Because I am not in need of any assistance at the moment,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Neither agree nor disagree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Me and my roommates have not had any serious conflict. We solve our problems by communicating.,Agree,Agree,Agree,Did not answer,Yes,No,No,Some of them I wasn't really interested in.,Yes,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,More than 10 Times,1-5 Times,6-10 Times,6-10 Times,4,4,Did not answer,Excellent,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,382,R_3lFGCzrmxdiykKn,Satisfied,Did not answer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,I don't know what the Star Center is.,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,Yes,Did not answer,Yes,Yes,No,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,More than 10 Times,More than 10 Times,More than 10 Times,1-5 Times,3,3,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zura,CA,United States of America,California Resident,Weber Honors College,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,764,R_3nldmy0vQk4YWFa,Satisfied,Did not answer,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,I just chose to study other places,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,No,No,Was unable to attend,Yes,No,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,More than 10 Times,1-5 Times,6-10 Times,1-5 Times,5,5,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Tenochca,CA,United States of America,California Resident,Nursing,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,366,R_3r1zAXkrQkUUOHE,Satisfied,Did not answer,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,No,No,Yes,Yes,Not Applicable,No,Not applicable,Neutral,Unsatisfied,Neutral,"hallways dirty, leak in room still not fixed",Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,busy,Yes,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,Yes,No,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,1-5 Times,4,3,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Chapultepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,628,R_XOpUfaD4XU8ws7v,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,I don't know what it is,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,I did not need to,Agree,Agree,Agree,Did not answer,Yes,Yes,No,I had class conflicts,No,No,Yes,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,6-10 Times,4,5,Did not answer,Good,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Quad,Freshman,New,F,First Year,NOT ENROLLED
October,716,R_2q2GV9XWAIYK6ec,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Not needed,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Did not answer,Agree,Agree,Neutral,Did not answer,Yes,Yes,Yes,Did not answer,Yes,Yes,No,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,6-10 Times,5,5,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza South,CA,United States of America,California Resident,Multicultural Learning Community,Residential Learning Communities,Triple,Freshman,New,M,First Year,ATTENDING
October,136,R_7PreChZSOodEusN,Satisfied,Did not answer,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,I haven't felt the need to visit a STAR center,Neutral,Neutral,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,I‚m not too aware of the affinity groups,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,More than 10 Times,More than 10 Times,6-10 Times,4,3,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while I was away from campus in the last 30 days.",No,Zura,CA,United States of America,California Resident,Women's & Gender Equity,Residential Learning Communities,Triple,Freshman,New,F,First Year,ATTENDING
October,436,R_XYX0yjWJNZxMWRj,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,I don't know what that is,Neutral,Neutral,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,didn't know about it.,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,More than 10 Times,1-5 Times,More than 10 Times,More than 10 Times,3,3,Did not answer,Excellent,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,M,First Year,NOT ENROLLED
October,551,R_3QRgJ1NJToqiXxi,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,I don't think I know what that is.,Neutral,Unsatisfied,Unsatisfied,More than half of the water filling stations on my floor do not work. The girls bathroom is always flooded (the floor). A lock on one of the stalls in the girls bathroom has been broken since the first week of school.,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,None of the conflicts we have had needed to be brought to that level - just minor things.,Agree,Agree,Agree,Did not answer,Yes,No,Yes,"I did, oops",Yes,Yes,Yes,No,No,No,No,No,No,Yes,Did not answer,Did not answer,Yes,Yes,No,No,No,Yes,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,1-5 Times,3,2,"No, I'm not sure why",Good,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
October,462,R_3QE2RBEr7rpbIXW,Neutral,Did not answer,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,I don't know what that is,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"3, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,I haven't needed to yet,Agree,Agree,Agree,Did not answer,No,Yes,Yes,I was busy doing something school related,No,No,Yes,No,No,No,No,No,No,No,Not Applicable,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,More than 10 Times,0 Times,More than 10 Times,0 Times,4,2,"No, I do not know how to",Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Huaxyacac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,New,F,First Year,ATTENDING
